facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Malatana Healthcare Medical Clinic (Nyandarua),0.0240965,36.4084293,Level 2,Nyandarua,NA,Kiritta,open,Medical Clinic,Private
Stafam Medical Clinic,-1.3957787,36.779065,Level 2,Kajiado,Kajiado North,Ongata Rongai,open,Medical Clinic,Private
Jesse Kay Hospital - Juja Satellite,-1.1626825,37.0923839,Level 3,Kiambu,Juja,Kalimoni,open,Nursing Home,Faith Based
Lightening Upendo Medical Clinic,-1.0810128,37.0005611,Level 2,Kiambu,Juja,Juja,open,Medical Clinic,Private
Al-Fowz Nursing Home (Mandera),3.939947,41.8530994,Level 3,Mandera,NA,Neboi,open,Nursing Home,Private
CEDAR SINAI  MEDICAL CENTRE,1.0167004,35.0053007,Level 2,Trans Nzoia,Kwanza,Bidii,open,Medical Center,Private
Raimu Hospital Ltd Malaba,0.6376474,34.2692374,Level 3,Busia,Teso North,Malaba North,open,Medical Center,Private
SOIN MEDICAL CENTER LIMITED,-0.2272193,35.1539679,Level 2,Kericho,Sigowet/Soin,Soin,open,Medical Center,Private
Rodi Canaan Medical Center,-0.626281,34.5033536,Level 2,Homa Bay,Homa Bay Town,Homa Bay Central,open,Medical Clinic,Private
Kwabullo Medical Clinic,-4.0130223,39.7089786,Level 2,Mombasa,Nyali,Kadzandani,open,Medical Clinic,Private
Bulo Medicare,-4.0125034,39.7092664,Level 2,Mombasa,Nyali,Kadzandani,open,Medical Clinic,Private
Lubryl Medical Centre,-1.2390982,36.8992685,Level 2,Nairobi,Ruaraka,Lucky Summer,open,Medical Center,Private
Kisauni MAT Clinic,-4.025955,39.69373,Level 2,Mombasa,Nyali,Frere Town,open,Dispensary,Government/Public Entity
Bale Dispensary,-3.4452409,39.7564751,Level 2,Kilifi,Ganze,Sokoke,open,Dispensary,Government/Public Entity
Rehema Health Care Clinic,0.5136494,34.1499399,Level 2,Busia,Teso South,Chakol South,open,Health Center,Private
Mogoiyuet Dispensary,-0.8185521,35.5400117,Level 2,Narok,Narok West,Ilmotiook,open,Dispensary,Government/Public Entity
Elephant Dental Limited -Turbo,0.5162676,35.2741286,Level 2,Uasin Gishu,Turbo,Huruma,open,Stand-Alone service,Private
Ringa Community Hospital LTD,-0.4704455,34.8520377,Level 3,Homa Bay,Kabondo Kasipul,Kojwach,open,Hospital,Private
Safari Doctors Medical Centre,-2.2937467,40.9151776,Level 2,Lamu,Lamu Central,Shella,open,Medical Center,Non-Governmental Organization
Kani Karui Dispensary,0.2484917,37.8881533,Level 2,Meru,Igembe Central,Kangeta,open,Dispensary,Government/Public Entity
Kidunguni Dispensary,-4.0948254,39.6453663,Level 2,Mombasa,Likoni,Likoni,open,Dispensary,Government/Public Entity
Equity Afia Ngong Road,-1.303026,36.7844506,Level 3,Nairobi,Kibra,Woodley/Kenyatta Golf Course,open,Medical Center,Private
Voi Eye Care Taveta Branch,-3.3941722,37.6730646,Level 2,Taita Taveta,Taveta,Bomani,open,Stand-Alone service,Private
Mtongwe Afya Bora Nursing Home,-4.0753644,39.639213,Level 3,Mombasa,Likoni,Mtongwe,open,Hospital,Private
Cancer Center OF Excellence,-4.0374163,39.7071949,Level 3,Mombasa,Nyali,Ziwa La Ng'ombe,open,Stand-Alone service,Private
Royal Community Clinic,-4.0301202,39.6964931,Level 2,Mombasa,Nyali,Ziwa La Ng'ombe,open,Medical Clinic,Private
Bethany Medical Centre,-1.2745984,36.7424205,Level 3,Nairobi,Dagoretti North,Gatina,open,Medical Center,Private
Mothermile Dental Care (Nairobi),-1.2993786,36.782262,Level 2,Nairobi,NA,Kilimani,open,Stand-Alone service,Private
Ruby Smiles Dental Clinic,-1.2723668,36.8408347,Level 2,Nairobi,Starehe,Pangani,open,Medical Clinic,Private
Mother Theresa Medical Clinic,0.0126662,34.7263462,Level 2,Vihiga,Hamisi,Jepkoyai,open,Medical Clinic,Private
Sabatia Eye Hospital ( Eldoret Clinic),0.5139847,35.2787287,Level 2,Uasin Gishu,Ainabkoi,Kapsoya,open,other,Faith Based
Ekerenyo Amani Health Centre,-0.5328721,34.9883027,Level 3,Nyamira,Nyamira North,Itibo,open,Health Center,Faith Based
Mupa Medical Clinic And Pharmacy (Laikipia),0.0302592,36.365213,Level 2,Laikipia,NA,Igwamiti,open,Medical Clinic,Private
Outspan Hospital Town Clinic,-0.422915,36.9532685,Level 2,Nyeri,Nyeri Central,Rware,open,Hospital,Private
Sinendet Tea Medical Clinic,-0.459965,35.29974,Level 2,Bomet,Konoin,Chepchabas,open,Dispensary,Private
Gertrudes Garden Children Hospital-Westlands,-1.2615514,36.8020603,Level 2,Nairobi,Westlands,Parklands/Highridge,open,Medical Clinic,Private
Equity Afia Kasarani Medical Centre,-1.2189337,36.8955989,Level 2,Nairobi,Kasarani,Kasarani,open,Medical Center,Private
Express Family Medical Centre,-1.1674765,36.9639383,Level 2,Kiambu,Ruiru,Gatongora,open,Medical Clinic,Private
Githurai Axislab Med Clinic,-1.2074662,36.9163363,Level 2,Kiambu,Ruiru,Mwiki,open,Medical Clinic,Private
Royal Smiles Dental Clinic - Nakuru,-0.2833254,36.0735964,Level 2,Nakuru,Nakuru East,Biashara,open,Medical Clinic,Private
Naivasha Highway Nursing Home,-0.7451279,36.4631922,Level 2,Nakuru,Naivasha,Naivasha East,open,Nursing Home,Private
Lution Medical Clinic (Tana River),-2.2689813,40.1112266,Level 2,Tana River,NA,Gariseni West,open,Medical Clinic,Private
Njenga Hospital,-1.3163338,36.87945,Level 3,Nairobi,Embakasi South,Kwa Njenga,open,Hospital,Government/Public Entity
Kongoni Dispensary (Kipkelion East),-0.0822855,35.5893629,Level 2,Kericho,Kipkelion East,Tendeno/Sorget,open,Dispensary,Government/Public Entity
St. Gallen Oncollogy Network,0.2829325,34.7548944,Level 2,Kakamega,Lurambi,Shirere,open,other,Private
Elkala Dispensary (MANDERA),2.8007873,40.9694375,Level 2,Mandera,NA,Elwak nort,open,Dispensary,Government/Public Entity
Nyamaiya Medical Center,-0.9666223,34.6789863,Level 3,Kisii,South Mugirango,Borabu/Chitago,open,Medical Clinic,Private
Gedian Family Healthcare,-0.0795535,34.7853633,Level 2,Kisumu,Kisumu Central,Kondele,open,Medical Clinic,Private
Bojigarse Dispensary,2.6852969,40.5341509,Level 2,Mandera,Mandera South,Kutulo,open,Dispensary,Government/Public Entity
Taiywet Dispensary,-0.3898517,35.083085,Level 2,Kericho,Sigowet/Soin,Sigowet,open,Dispensary,Government/Public Entity
Jumkino Medical Center,-0.4632108,35.0704609,Level 3,Kericho,Sigowet/Soin,Sigowet,open,Medical Center,Private
Gifton's Medical Clinic,0.0382523,37.6571198,Level 2,Meru,Imenti North,Ntima East,open,Medical Clinic,Private
Eurocity Medical Clinic,-0.1257592,34.794725,Level 2,Kisumu,Kisumu East,Kolwa Central,open,Medical Center,Private
Vihiga Alpha Medical Clinic (Vihiga),0.112358,34.7279544,Level 2,Vihiga,NA,chavakali,open,Medical Clinic,Private
Katopoten Dispensary,1.6805934,35.1155156,Level 2,West Pokot,KACHELIBA,Kodich,open,Dispensary,Government/Public Entity
Carpa Medical Center,-0.4645071,37.0355592,Level 2,Nyeri,Nyeri Central,Gatitu/Muruguru,open,Medical Clinic,Private
Equity Afia (Kitui Central),-1.3632684,38.0100107,Level 3,Kitui,Kitui Central,Township,open,Medical Center,Private
Tosha Hospital Limited,-3.2267838,40.1056744,Level 2,Kilifi,Malindi,Malindi Town,open,Nursing Home,Private
Waldensian Clinic,-2.0672304,38.1791703,Level 2,Kitui,Kitui South,Ikutha,open,Medical Clinic,Private
Odyssey Optician LTD  -Mombasa,-4.0596073,39.6708143,Level 2,Mombasa,Mvita,Majengo,open,Medical Clinic,Private
Aspro  Medecol Solutions,0.3608788,34.4062383,Level 3,Kakamega,Matungu,Koyonzo,open,Medical Center,Private
Ndia Medical Centre,-0.6225631,37.2578597,Level 3,Kirinyaga,Kirinyaga North/Mwea West,Mutithi,open,Medical Center,Private
Vijay Optica,-4.0626339,39.6709743,Level 2,Mombasa,Mvita,Shimanzi/Ganjoni,open,Stand-Alone service,Private
Ulukuse Container Dispensary,2.5185,35.2656456,Level 2,Turkana,Loima,Kotaruk/Lobei,open,Dispensary,Government/Public Entity
ST. James Infirmary Busia,0.4602427,34.1157912,Level 3,Busia,Teso South,Ang'orom,open,Hospital,Private
Mandera Medicare Clinic (Mandera),3.935006,41.8519792,Level 3,Mandera,NA,Township,open,Nursing Home,Private
Kijiji medical centre,-0.7804794,36.4572511,Level 2,Nakuru,Naivasha,Hellsgate,open,Medical Center,Private
Oasis Doctors Plaza ( Webuye) (Bungoma),0.6073253,34.7703602,Level 3,Bungoma,NA,Matulo,open,Hospital,Private
Eguity Afya Kapenguria (West pokot county),1.2565525,35.0921888,Level 3,West Pokot,NA,Mnagei ward,open,Medical Center,Private
Reposes Health Services,-1.1274242,36.9820141,Level 2,Kiambu,Juja,Murera,open,Medical Clinic,Private
Kodopa Container Dispensary,2.9712839,35.4771114,Level 2,Turkana,Loima,Turkwel,open,Dispensary,Government/Public Entity
Optex Opticians,-0.6755113,34.7710786,Level 2,Kisii,Kitutu Chache South,Kitutu Central,open,Medical Clinic,Private
MZEDU DAWIDA MEDICAL SERVICES,-3.5083945,38.3623152,Level 3,Taita Taveta,Mwatate,Chawia,open,Medical Center,Private
Merucare Medical Centre,0.0546117,37.6399983,Level 2,Meru,Imenti North,Municipality,open,Medical Center,Private
Ryattah Medical Centre,-3.3974877,37.6753511,Level 2,Taita Taveta,Taveta,Bomani,open,Medical Center,Private
Mama Rehema Medical Clinic,-1.1735032,37.1431227,Level 2,Kiambu,Juja,Kalimoni,open,Medical Clinic,Private
Chibarani Dispensary,-3.9472106,39.5545231,Level 2,Kilifi,Rabai,Rabai/Kisurutini,open,Dispensary,Government/Public Entity
Muthuri Health Services,-3.2215487,40.1049011,Level 2,Kilifi,Malindi,Shella,open,Medical Center,Private
Motire occupational safety and health solutions,-1.0410605,37.0720129,Level 2,Kiambu,Thika Town,Township,open,other,Private
Sondu Bahati Medical Center,-0.3903221,35.0126242,Level 2,Kericho,Sigowet/Soin,Kaplelartet,open,Medical Center,Private
Reuben Health Centre (GOK),-1.3157887,36.8736994,Level 3,Nairobi,Embakasi South,Kwa Reuben,open,Health Center,Government/Public Entity
Advance Care Dental Centre,-0.0847376,34.7701258,Level 2,Kisumu,Kisumu Central,Railways,open,Stand-Alone service,Private
Mirema Medical Centre,-1.2165827,36.889802,Level 3,Nairobi,Roysambu,Roysambu,open,Nursing Home,Private
Aloha Medical Clinic,0.1264191,37.7184652,Level 2,Meru,Tigania West,Nkomo,open,Medical Clinic,Private
Mother Francesca Rubatto medical center,-0.2582856,36.0164397,Level 2,Nakuru,Rongai,Menengai West,open,Dispensary,Faith Based
Clinician Hub Medical Centre,0.9825684,35.0394768,Level 2,Trans Nzoia,Kiminini,Sirende,open,Medical Clinic,Private
Satellite Blood Transfusion Centre Kajiado,-1.8573029,36.7717634,Level 2,Kajiado,Kajiado Central,Ildamat,open,Hospital,Government/Public Entity
Natirlulung dispensary,3.1176201,35.7391618,Level 2,Turkana,Turkana Central,Kanamkemer,open,Dispensary,Government/Public Entity
Kotit Dispensary,1.6375642,35.306962,Level 2,West Pokot,West Pokot,Sook,open,Dispensary,Government/Public Entity
Edelpert Medical Center,-2.3328082,37.8759751,Level 2,Makueni,Kibwezi West,Nguumo,open,Medical Center,Private
St Rose Nyamindi Medical Centre (Kirinyaga),-0.5546367,37.38343,Level 3,Kirinyaga,NA,Nyangati,open,Medical Center,Private
Grand Royalcare Medical Clinic,0.4769394,35.2677579,Level 2,Uasin Gishu,Kesses,Racecourse,open,Medical Center,Private
Reale Hospital Clinic Kitale,1.016022,35.0026214,Level 2,Trans Nzoia,Saboti,Matisi,open,Hospital,Private
Spring Medical Clinic,0.3585926,35.3557154,Level 2,Uasin Gishu,Kesses,Cheptiret/Kipchamo,open,Medical Clinic,Private
Babra Medical Clinic,0.4723876,35.2996837,Level 2,Uasin Gishu,Kesses,Racecourse,open,Medical Clinic,Private
Koitebes Dispensary(Kesses),0.28574,35.40779,Level 2,Uasin Gishu,Kesses,Cheptiret/Kipchamo,open,Dispensary,Government/Public Entity
Gitwe Dispensary,0.4903655,35.2323658,Level 2,Uasin Gishu,Kapseret,Langas,open,Dispensary,Government/Public Entity
Bomet Satellite Blood Transfusion Centre(SBTC),-0.8611813,35.3900706,Level 2,Bomet,Bomet East,Longisa,open,Stand-Alone service,Government/Public Entity
Busho Dispensary,-3.909078,39.0588617,Level 2,Kwale,Kinango,Mackinon Road,open,Dispensary,Government/Public Entity
Kitaru Dispensary,-0.6152336,35.0373173,Level 2,Nyamira,Borabu,Mekenene,open,Dispensary,Government/Public Entity
Humpton Medical Clinic,-1.2917019,36.9773505,Level 2,Machakos,Athi River,Muthwani,open,Medical Center,Private
Visioners Medical Center,-0.4307022,37.4773956,Level 3,Embu,Manyatta,Ruguru-ngandori,open,Medical Center,Private
Matheng'eta Dispensary,-0.8021159,37.2857329,Level 2,Machakos,Masinga,Ndithini,open,Dispensary,Government/Public Entity
Valley View Medical Specialist and Diagnostic Embu Limited,-0.5369528,37.4504482,Level 3,Embu,Manyatta,Kirimari,open,Medical Center,Private
Golden Medical Clinic-Mlolongo,-1.3945546,36.9423063,Level 2,Machakos,Athi River,Syokimau/Mulolongo,open,Medical Clinic,Private
Royo Hospital Ltd,0.4470125,34.8562445,Level 3,Kakamega,Malava,Chemuche,open,Hospital,Private
Leal Community Clinic,-0.129011,34.6231656,Level 2,Kisumu,Kisumu West,South West Kisumu,open,Medical Clinic,Private
Dudu Health Centre,-0.4845401,34.8708624,Level 3,Homa Bay,Kabondo Kasipul,Kojwach,open,Health Center,Government/Public Entity
Korowe Highway Medical Centre,-0.170242,34.879878,Level 3,Kisumu,Nyando,Kobura,open,Medical Center,Private
Kapkerer Ponacare Healthwatch Clinic,0.0120789,34.7981562,Level 2,Nandi,Aldai,Terik,open,Medical Clinic,Private
Arombe Medical Centre,-0.7826215,34.3207395,Level 2,Homa Bay,Ndhiwa,Kanyadoto,open,Dispensary,Private
Marah  Medical Centre,-1.2069499,36.9529472,Level 3,Kiambu,Ruiru,Mwihoko,open,Medical Center,Private
JAYOMED CLINIC,0.1727242,34.92837,Level 2,Nandi,Emgwen,Kapkangani,open,Medical Clinic,Private
Murang'a Doctors Plaza,-0.7210789,37.1581511,Level 3,Muranga,Kiharu,Township,open,Medical Clinic,Private
Imbo Health Centre,-0.5954066,34.5341576,Level 3,Homa Bay,Homa Bay Town,Homa Bay East,open,Health Center,Government/Public Entity
Protaus (Nairobi),-1.1834988,36.9006198,Level 2,Nairobi,NA,Kahawa west,open,Medical Clinic,Private
Agate Medical Clinic (Nairobi),-1.2530145,36.9116007,Level 2,Nairobi,NA,Njiru,open,Medical Clinic,Private
Chidzaya Dispensary,-4.1276922,38.9728584,Level 2,Kwale,Kinango,Puma,open,Dispensary,Government/Public Entity
God Agak Health Centre,-0.5010814,34.8528891,Level 3,Homa Bay,Kabondo Kasipul,Kojwach,open,Health Center,Government/Public Entity
Noiwet Medical Clinic,0.0605906,35.9278726,Level 2,Baringo,Mogotio,Mogotio,open,Medical Clinic,Private
Ogwang Bware Health Centre,-0.3967489,34.6946746,Level 3,Homa Bay,Karachuonyo,Kendu Bay Town,open,Health Center,Government/Public Entity
Dove Dental,-1.0403144,37.0713874,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Egu  Dispensary,-3.6841825,39.1393422,Level 2,Kwale,Kinango,Mackinon Road,open,Dispensary,Government/Public Entity
God Agulu Health Center,-0.5177602,34.6981698,Level 3,Homa Bay,Rachuonyo South,West Kasipul,open,Health Center,Government/Public Entity
Satellite Blood Transfusion Centre Makueni,-1.7840058,37.628736,Level 2,Makueni,Makueni,Wote,open,Stand-Alone service,Government/Public Entity
Shambini Dispensary,-4.0900484,39.1716677,Level 2,Kwale,Kinango,Puma,open,Dispensary,Government/Public Entity
Crown  Specialist Centre,-4.0431921,39.6589253,Level 3,Mombasa,Mvita,Tononoka,open,Medical Center,Private
Quracmathow,3.2481427,40.8623848,Level 2,Mandera,Mandera North,Ashabito,open,Dispensary,Government/Public Entity
Lake Dental Clinic,-0.1044105,34.7525768,Level 2,Kisumu,Kisumu Central,Market Milimani,open,Medical Center,Private
Vima Royal Healthcare,-2.7061535,38.0478292,Level 2,Makueni,Kibwezi East,Ivingoni/Nzambani,open,Medical Clinic,Private
Dziriphe Dispensary,-4.5926144,39.1668828,Level 2,Kwale,Lunga Lunga,Vanga,open,Dispensary,Government/Public Entity
Restore Hospital,-1.3455767,36.734844,Level 3,Nairobi,Langata,Karen,open,Hospital,Private
ultimate Dental Centre,-1.25232,36.6655033,Level 2,Kiambu,Kikuyu,Kikuyu,open,other,Private
The Kitui Royal Diagnostic Centre,-1.3714453,38.0100895,Level 2,Kitui,Kitui Central,Township,open,Medical Center,Private
Moyale Madina Medical and Surgical Clinic,3.5214689,39.0559956,Level 2,Marsabit,Moyale,Moyale Township,open,Medical Clinic,Private
Ngomongo Dispensary,-1.2437549,36.8949979,Level 2,Nairobi,Ruaraka,Korogocho,open,Dispensary,Government/Public Entity
Forthall Memorial Hospital Limited,-0.9779517,37.0957817,Level 3,Muranga,Gatanga,Mugumo-ini,open,Hospital,Private
Laila Medical Centre,1.1823368,35.0374837,Level 2,Trans Nzoia,Kwanza,Keiyo,open,Medical Clinic,Private
Midland Health Centre,-0.5409951,34.7545662,Level 3,Homa Bay,Rachuonyo South,South Kasipul,open,Health Center,Government/Public Entity
Kileleshwa Medical Plaza,-1.278742,36.7908922,Level 3,Nairobi,Dagoretti North,Kileleshwa,open,Hospital,Private
Sembe Dispensary,-4.0636505,39.4354711,Level 2,Kwale,Kinango,Kinango,open,Dispensary,Government/Public Entity
Likbarrakah Likoni Medical Clinic,-4.102277,39.6624449,Level 2,Mombasa,Likoni,Timbwani,open,Medical Clinic,Private
Mitunguu Medical center (Marimanti branch),-0.1535733,37.966495,Level 3,Tharaka Nithi,Tharaka South,Marimanti,open,Medical Clinic,Private
Lutsanga dispensary,-3.9028736,39.705325,Level 2,Kilifi,Rabai,Kambe/Ribe,open,Dispensary,Government/Public Entity
Geohamib Medical Clinic,1.0927762,36.699357,Level 2,Samburu,Samburu Central,Maralal,open,Medical Clinic,Private
Rapedhi Health Center,-0.7622369,34.3540239,Level 3,Homa Bay,Ndhiwa,Kanyadoto,open,Health Center,Government/Public Entity
Notre Dame,-0.2840124,36.0745492,Level 3,Nakuru,Nakuru East,Biashara,open,Medical Center,Private
Siloams Medicare Dental & Dignostic Limited,-0.3295843,35.9419854,Level 2,Nakuru,Njoro,Njoro,open,other,Private
Bogota Bag Imaging and Nursing Home,3.1479843,41.1819608,Level 3,Mandera,Lafey,Lafey,open,Nursing Home,Private
Riosoti Dispensary,-0.7765314,34.9314172,Level 2,Kisii,Nyaribari Masaba,Ichuni,open,Dispensary,Government/Public Entity
Chepotarama Dispensary,1.457792,35.0436001,Level 2,West Pokot,West Pokot,Riwo,open,Dispensary,Government/Public Entity
Grassroot Community Health Services,0.7797333,34.7861067,Level 3,Bungoma,Kimilili,Kamukuywa,open,Medical Center,Private
Lunguma Dispensary,-4.1208891,39.4921124,Level 2,Kwale,Matuga,Tsimba Golini,open,Dispensary,Government/Public Entity
Equity Afia Kahawa West (Nairobi),-1.1828204,36.8968972,Level 3,Nairobi,NA,Kahawa west,open,Medical Center,Private
Kaatun Urology Centre & Male Executive Clinic (Nairobi),-1.2624545,36.8223047,Level 3,Nairobi,NA,Parklands,open,Medical Center,Private
Newcastle Healthcare & Diagnostic Centre LTP,-1.2994632,36.7810119,Level 3,Nairobi,Dagoretti North,Kilimani,open,Medical Center,Private
Sir Osteen Medical Centre,-0.2560806,35.7207014,Level 2,Nakuru,Kuresoi North,Sirikwa,open,Medical Clinic,Private
Mtsangatamu Dispensary,-4.2018029,39.4010288,Level 2,Kwale,Matuga,Mkongani,open,Dispensary,Government/Public Entity
Togomin Chebilat,-0.6220163,35.2338821,Level 2,Bomet,Sotik,Kapletundo,open,Dispensary,Government/Public Entity
Vision Edge Opticals & Eye Clinic,-0.1053744,34.7523546,Level 2,Kisumu,Kisumu Central,Market Milimani,open,Stand-Alone service,Private
Eyemate Ltd Ruiru,-1.1360776,36.9701474,Level 2,Kiambu,Juja,Murera,open,Medical Clinic,Private
Cheribo Dispensary,-0.6243965,35.1279744,Level 2,Kericho,Bureti,Litein,open,Dispensary,Government/Public Entity
Altamed Medical Clinic,-0.354806,36.195083,Level 2,Nakuru,Gilgil,Mbaruk/Eburu,open,Medical Clinic,Private
Mbeyu Medical Centre Limited (Kilifi),-3.9275453,39.5697576,Level 2,Kilifi,NA,Rabai,open,Medical Center,Private
Ngoina Road Dispensary,-0.4902816,35.1599156,Level 2,Kericho,Bureti,Chemosot,open,Dispensary,Government/Public Entity
Mukuyuni Dispensary,0.772962,34.8325442,Level 2,Bungoma,Tongaren,Milima,open,Dispensary,Government/Public Entity
Victorious Health Vlinic (Nakuru),-0.4091218,36.3118345,Level 2,Nakuru,NA,Gilgil,open,Medical Clinic,Private
Eluuya Dispensary,0.7481615,34.8506985,Level 2,Bungoma,Tongaren,Milima,open,Dispensary,Government/Public Entity
Tanaja Hospital,0.1438915,34.0175749,Level 2,Busia,Bunyala,Bunyala North,open,Nursing Home,Private
Ikarango Dispensary,-0.8074269,34.8811477,Level 2,Kisii,Nyaribari Masaba,Kiamokama,open,Dispensary,Government/Public Entity
Western Family Hospital,0.5808446,34.5582181,Level 3,Bungoma,Kanduyi,Khalaba,open,Hospital,Private
Lilymed Medical Services,-0.7150461,36.2981367,Level 2,Nakuru,Gilgil,Malewa West,open,Medical Clinic,Private
Highgate Health Limited,-0.4490732,39.6373459,Level 3,Garissa,Garissa,Galbet,open,Health Center,Private
Turkwel Health Clinic (West pokot),1.9190832,35.3629502,Level 2,West Pokot,NA,Kasitei,open,Dispensary,Private
Oloilalei Dispensary,-1.8646011,36.7132198,Level 2,Kajiado,Kajiado Central,Ildamat,open,Dispensary,Faith Based
Brantly Medical Clinic,1.014716,35.0097445,Level 2,Trans Nzoia,Kiminini,Hospital,open,Medical Clinic,Government/Public Entity
Planet Family Hospital - Nyakoe,-0.6166309,34.7595063,Level 3,Kisii,Kitutu Chache South,Bogeka,open,Health Center,Private
St. Crispin Afya Hospital,-1.8404004,36.7842698,Level 3,Kajiado,Kajiado Central,Ildamat,open,Health Center,Private
Kilulu Dispensary (Mwingi North),-0.5228316,38.292411,Level 2,Kitui,Mwingi North,Kyuso,open,Dispensary,Government/Public Entity
Agape Care Net Clinic (Vihiga),0.0410214,34.7167217,Level 2,Vihiga,NA,Central Maragoli,open,Medical Clinic,Private
Santiago Perfecto Health Care,-1.2536651,36.9227489,Level 2,Nairobi,Kasarani,Njiru,open,Medical Clinic,Non-Governmental Organization
Thiiri Medical Clinic,0.2870352,37.9823928,Level 2,Meru,Igembe Central,Athiru Ruujine,open,Medical Clinic,Private
Bulamu Medical Clinic,0.1274167,34.8611869,Level 2,Vihiga,Hamisi,Shiru,open,Medical Clinic,Private
Eldoret Medical Specialist Centre,0.514333,35.2785233,Level 3,Uasin Gishu,Ainabkoi,Kapsoya,open,Medical Center,Private
Rima Serene Medical Centre,-4.0392247,39.7113457,Level 3,Mombasa,Nyali,Mkomani,open,other,Private
Pura Health Centre Original,1.1338355,36.5579024,Level 3,Samburu,Samburu Central,Loosuk,open,Health Center,Government/Public Entity
Leilan Medical Centre,-0.7562803,37.277096,Level 2,Kirinyaga,Kirinyaga North/Mwea West,Mutithi,open,Medical Clinic,Private
RFH Healthcare Ruaka,-1.2076512,36.7830735,Level 3,Kiambu,Kiambaa,Ndenderu,open,Hospital,Private
Elephant Dental Nyeri Clinic,-0.422435,36.950715,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Koma Medical Centre Limited (Nairobi),-1.264741,36.908741,Level 2,Nairobi,NA,Komarock,open,Medical Clinic,Private
Penda Medical Centre (Kasarani),-1.218076,36.9028332,Level 2,Nairobi,Kasarani,Clay City,open,Medical Center,Private
Undugu Highrise Dispensary,-1.316707,36.8009042,Level 2,Nairobi,Langata,Nyayo Highrise,open,Dispensary,Government/Public Entity
Kimwenge Dispensary,0.0089866,34.7474027,Level 2,Vihiga,Hamisi,Tambua,open,Dispensary,Government/Public Entity
Upfront Medical Clinic,0.1104378,34.8315487,Level 2,Vihiga,Hamisi,Shamakhokho,open,Medical Clinic,Private
Shamakhokho Dispensary,0.1120875,34.8307398,Level 2,Vihiga,Hamisi,Shamakhokho,open,Dispensary,Government/Public Entity
Mollem Medical Clinic,-0.1239198,34.7941176,Level 2,Kisumu,Kisumu East,Kolwa Central,open,Medical Center,Private
Menich Family Health Services,-1.2904564,36.9018384,Level 2,Nairobi,Embakasi East,Upper Savannah,open,Medical Clinic,Private
Somcare Hospital LTD,1.7507307,40.0593533,Level 3,Wajir,Wajir East,Township,open,Hospital,Private
Ngaremara GOK Dispensary,0.495236,37.6504659,Level 2,Isiolo,Isiolo,Ngare Mara,open,Dispensary,Government/Public Entity
Equity Afia marsabit,2.328465,37.9877497,Level 3,Marsabit,Saku,Marsabit Central,open,Health Center,Private
Bayaan Nursing Home,1.7502942,40.0588998,Level 3,Wajir,Wajir East,Township,open,Hospital,Private
CGTRH Mtongwe Outreach Centre,-4.0802615,39.6392245,Level 3,Mombasa,Likoni,Mtongwe,open,Hospital,Government/Public Entity
Biga Dispensary,-4.3544679,39.5502764,Level 2,Kwale,Msambweni,Kinondo,open,Dispensary,Government/Public Entity
Penda Medical Centre(kawangware),-1.285744,36.7452011,Level 3,Nairobi,Dagoretti North,Kawangware,open,Medical Center,Private
Mwachawaza Dispensary,-3.435508,38.3893235,Level 2,Taita Taveta,Mwatate,Wusi/Kishamba,open,Dispensary,Government/Public Entity
Pipeline Modern Hospital LTD,-1.3203848,36.8942576,Level 3,Nairobi,Embakasi South,Pipeline,open,Hospital,Private
Gitare Dispensary,-0.4087988,36.3106616,Level 2,Nakuru,Gilgil,Murindati,open,Dispensary,Government/Public Entity
LaFemme HealthCare Clinic,-1.300596,36.7818531,Level 3,Nairobi,Kibra,Woodley/Kenyatta Golf Course,open,Medical Clinic,Private
Hope Medic Chavakali Flyover Clinic (Vihiga),0.1229033,34.7374195,Level 2,Vihiga,NA,Chavakali,open,Medical Clinic,Private
Hekima Health Kiosk Chavakali (Vihiga),0.1172982,34.7340404,Level 2,Vihiga,NA,Chavakali,open,Medical Clinic,Government/Public Entity
SOUL AFYA MEDI CENTRE,-1.011596,36.9044224,Level 2,Kiambu,Gatundu South,Ngenda,open,Medical Clinic,Private
Ngetunyo Dispensary,-0.3770183,35.134005,Level 2,Kericho,Sigowet/Soin,Kaplelartet,open,Dispensary,Government/Public Entity
ST. Francis Mission Dispensary Suwerwa,1.0479133,35.2255155,Level 2,Trans Nzoia,Cherangany,Cherangany/Suwerwa,open,Dispensary,Faith Based
Nadimer Care and Medics,-1.3943446,36.9404183,Level 3,Machakos,Athi River,Syokimau/Mulolongo,open,Medical Clinic,Private
Kauta Good Hope Medical Clinic,1.1322001,35.1018167,Level 2,Trans Nzoia,Cherangany,Sinyerere,open,Medical Clinic,Private
Sasa Doctor Medical Clinic,-1.2647738,36.8036427,Level 2,Nairobi,Westlands,Parklands/Highridge,open,Medical Clinic,Private
St Thomas Maternity Hospital - Ferry Branch,-4.0886803,39.6695454,Level 3,Mombasa,Likoni,Timbwani,open,Nursing Home,Private
Saumed Limited,-1.0347402,37.0752471,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
