"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Muyuni Dispensary",-1.0853706,38.2180256,"Level 2","Kitui","Mwingi Central","Mui","open","Dispensary","Government/Public Entity",1402,"Kitui",TRUE
"Dental And Maxillofacial Imaging Centre (Kisumu)",-0.0981289,34.7626877,"Level 2","Kisumu",NA,"Kaloleni Shauri Moyo","open","other","Private",1403,"Kisumu",TRUE
"Mwania (Chandaria) Dispensary",-2.0774844,37.9267129,"Level 2","Makueni","Makueni","Kitise/Kithuki","open","Dispensary","Government/Public Entity",1404,"Makueni",TRUE
"Mwanyani Health Centre",-2.0301843,37.5122019,"Level 3","Makueni","Kibwezi West","Emali/Mulala","open","Health Center","Government/Public Entity",1405,"Makueni",TRUE
"Elim Medical Clinic (Nairobi)",-1.3021399,36.73861,"Level 2","Nairobi",NA,"Ngando","open","Medical Clinic","Private",1406,"Nairobi",TRUE
"Mweini Dispensary",-2.068071,37.6811181,"Level 2","Makueni","Kibwezi West","Nguu/Masumba","open","Dispensary","Government/Public Entity",1407,"Makueni",TRUE
"Mwendwa Clinic",0.160868,37.7475408,"Level 2","Meru","Tigania West","Kianjai","open","Dispensary","Private",1408,"Meru",TRUE
"Mweronkaga Health Centre",0.2116918,37.7001378,"Level 2","Meru","Tigania West","Akithii","open","Health Center","Government/Public Entity",1409,"Meru",TRUE
"Mwingi Nursing Home",-0.9451414,38.0644102,"Level 3","Kitui","Mwingi Central","Central","open","Nursing Home","Private",1410,"Kitui",TRUE
"Mwitika Health Centre",-1.4505874,38.3092401,"Level 3","Kitui","Kitui East","Zombe/Mwitika","open","Health Center","Government/Public Entity",1411,"Kitui",TRUE
"Mwonge Clinic",-0.3363717,37.6459167,"Level 2","Tharaka Nithi","Chuka","Karingani","open","Medical Clinic","Private",1412,"Tharaka Nithi",TRUE
"Mwonge Dispensary",-0.3610022,37.6288997,"Level 2","Tharaka Nithi","Chuka","Magumoni","open","Dispensary","Government/Public Entity",1413,"Tharaka Nithi",TRUE
"Naari Health Centre",0.0959438,37.5688819,"Level 3","Meru","Buuri East","Kiirua/Naari","open","Health Center","Government/Public Entity",1414,"Meru",TRUE
"Nana Health centre",3.4689567,39.2390939,"Level 2","Marsabit","Moyale","Golbo","open","Health Center","Government/Public Entity",1415,"Marsabit",TRUE
"Ndiuni Health Centre",-1.2437926,37.9746205,"Level 3","Kitui","Kitui West","Kwamutonga/Kithumula","open","Health Center","Government/Public Entity",1416,"Kitui",TRUE
"Nembure Health Centre",-0.4744387,37.5106854,"Level 3","Embu","Manyatta","Gaturi South","open","Health Center","Government/Public Entity",1417,"Embu",TRUE
"New Ngei Road Nursing Home",-1.5202049,37.2702905,"Level 3","Machakos","Machakos","Machakos Central","open","Nursing Home","Private",1418,"Machakos",TRUE
"Ngai Health Center",-1.7079481,37.5010607,"Level 3","Makueni","Mbooni","Kithungo/Kitundu","open","Health Center","Government/Public Entity",1419,"Makueni",TRUE
"Nganduri Dispensary",-0.6941057,37.596662,"Level 2","Embu","Mbeere South","Mbeti South","open","Dispensary","Government/Public Entity",1420,"Embu",TRUE
"Ngangani Dispensary",-1.4836093,38.0521635,"Level 2","Kitui","Kitui Rural","Mbitini","open","Dispensary","Government/Public Entity",1421,"Kitui",TRUE
"Ngaremara  Catholic Dispensary",0.5057799,37.6497494,"Level 2","Isiolo","Isiolo","Ngare Mara","open","Dispensary","Faith Based",1422,"Isiolo",TRUE
"Ngeru Dispensary",-0.2583899,37.685167,"Level 2","Tharaka Nithi","Mwimbi","Ganga","open","Dispensary","Government/Public Entity",1423,"Tharaka Nithi",TRUE
"Ngetani Dispensary",-0.8749637,37.617698,"Level 2","Machakos","Masinga","Masinga Central","open","Dispensary","Government/Public Entity",1424,"Machakos",TRUE
"Ngiluni Dispensary (Kibwezi)",-2.667106,38.2915258,"Level 2","Makueni","Kibwezi East","Mtito Andei","open","Dispensary","Government/Public Entity",1425,"Makueni",TRUE
"Ngiluni Dispensary (Kitui Rural)",-1.5050676,37.9819859,"Level 2","Kitui","Kitui Rural","Kisasi","open","Dispensary","Government/Public Entity",1426,"Kitui",TRUE
"Ngoleni Dispensary",-1.3934472,37.2882073,"Level 2","Machakos","Kathiani","Kathiani Central","open","Dispensary","Government/Public Entity",1427,"Machakos",TRUE
"Ngomeni Health Centre",-0.6426483,38.4089583,"Level 3","Kitui","Mwingi North","Ngomeni","open","Health Center","Government/Public Entity",1428,"Kitui",TRUE
"Ngongoni Dispensary",-1.07566,37.9170329,"Level 2","Kitui","Mwingi West","Nguutani","open","Dispensary","Government/Public Entity",1429,"Kitui",TRUE
"Nguluni Health Centre",-1.2827701,37.2795946,"Level 3","Machakos","Matungulu","Matungulu West","open","Medical Center","Government/Public Entity",1430,"Machakos",TRUE
"Nguni Health Centre",-0.8030088,38.3150148,"Level 3","Kitui","Mwingi Central","Nguni","open","Health Center","Government/Public Entity",1431,"Kitui",TRUE
"Nguruki-Iruma Dispensary",-0.2209851,37.6888475,"Level 2","Tharaka Nithi","Mwimbi","Mwimbi","open","Dispensary","Faith Based",1432,"Tharaka Nithi",TRUE
"Nguuku Dispensary",-0.5936587,38.0499968,"Level 2","Kitui","Mwingi North","Mumoni","open","Dispensary","Government/Public Entity",1434,"Kitui",TRUE
"Nguungani Dispensary",-0.6264999,37.9601483,"Level 2","Kitui","Mwingi North","Mumoni","open","Dispensary","Government/Public Entity",1435,"Kitui",TRUE
"Ngwata Health Centre",-2.5303847,38.0501173,"Level 3","Makueni","Kibwezi East","Masongaleni","open","Health Center","Government/Public Entity",1436,"Makueni",TRUE
"Nkondi Health centre",-0.17575,37.8356667,"Level 3","Tharaka Nithi","Tharaka South","Nkondi","open","Health Center","Government/Public Entity",1437,"Tharaka Nithi",TRUE
"Nkubu Dispensary",-0.0678803,37.6619866,"Level 2","Meru","Imenti South","Nkuene","open","Dispensary","Government/Public Entity",1438,"Meru",TRUE
"North Horr Health Centre",3.3242847,37.0717296,"Level 3","Marsabit","North Horr","North Horr","open","Health Center","Faith Based",1439,"Marsabit",TRUE
"Ntemwene Dispensary",-0.0605904,37.6305433,"Level 2","Meru","Imenti South","Nkuene","open","Dispensary","Government/Public Entity",1440,"Meru",TRUE
"Ntha Clinic",-0.3554075,37.6666067,"Level 2","Tharaka Nithi","Chuka","Mugwe","open","Dispensary","Private",1441,"Tharaka Nithi",TRUE
"Nthagaiya Catholic Dispensary",-0.4694291,37.5768727,"Level 2","Embu","Runyenjes","Kagaari South","open","Dispensary","Faith Based",1442,"Embu",TRUE
"Nthambiro Catholic Dispensary",0.248432,38.0232084,"Level 2","Meru","Igembe Central","Igembe East","open","Dispensary","Faith Based",1443,"Meru",TRUE
"Nthambiro Dispensary",0.2498737,38.0279344,"Level 2","Meru","Igembe Central","Igembe East","open","Health Center","Government/Public Entity",1444,"Meru",TRUE
"Nthongoni Health Centre (Kitui Rural)",-1.589041,37.8207079,"Level 3","Kitui","Kitui Rural","Kwavonza/Yatta","open","Health Center","Government/Public Entity",1445,"Kitui",TRUE
"Nthwanguu Dispensary",-1.4871233,37.6352149,"Level 2","Machakos","Mwala","Kibauni","open","Dispensary","Government/Public Entity",1446,"Machakos",TRUE
"Nuu Catholic Dispensary",-1.055988,38.3609266,"Level 2","Kitui","Mwingi Central","Nuu","open","Dispensary","Faith Based",1447,"Kitui",TRUE
"Nyagani Dispensary",-0.2811682,37.6421294,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Government/Public Entity",1448,"Tharaka Nithi",TRUE
"Nzaini Dispensary",-1.6625331,37.3270959,"Level 2","Machakos","Kalama","Kola","open","Dispensary","Government/Public Entity",1450,"Machakos",TRUE
"Nzatani Dispensary",-1.1034173,38.0714153,"Level 2","Kitui","Mwingi West","Migwani","open","Dispensary","Government/Public Entity",1451,"Kitui",TRUE
"Aar Health Care-United Mall Kisumu (Kisumu)",-0.0986402,34.7621163,"Level 2","Kisumu",NA,"Kaloleni Shauri Moyo","open","Medical Clinic","Private",1452,"Kisumu",TRUE
"Nzawa Health Centre",-1.1218215,37.9289136,"Level 3","Kitui","Mwingi West","Nguutani","open","Health Center","Non-Governmental Organization",1453,"Kitui",TRUE
"Nzeluni Health Centre",-1.0791822,38.1002035,"Level 3","Kitui","Mwingi West","Migwani","open","Health Center","Government/Public Entity",1454,"Kitui",TRUE
"Nzeveni Health Centre",-2.5942324,37.9975156,"Level 3","Makueni","Kibwezi East","Ivingoni/Nzambani","open","Health Center","Government/Public Entity",1455,"Makueni",TRUE
"Nziu Health Centre",-1.8127519,37.5338295,"Level 3","Makueni","Makueni","Wote","open","Health Center","Government/Public Entity",1456,"Makueni",TRUE
"Nzoila Dispensary",-2.5776454,38.1537005,"Level 2","Makueni","Kibwezi East","Mtito Andei","open","Dispensary","Government/Public Entity",1457,"Makueni",TRUE
"OLL Mwea Hospital Clinic Embu (Satelite)",-0.5390387,37.4554064,"Level 2","Embu","Manyatta","Kirimari","open","Medical Clinic","Faith Based",1458,"Embu",TRUE
"Oldonyiro Health Centre (Isiolo)",0.6260964,36.986442,"Level 2","Isiolo","Isiolo","Oldo/Nyiro","open","Health Center","Government/Public Entity",1459,"Isiolo",TRUE
"Odda Dispensary (Moyale)",3.5142797,39.055539,"Level 2","Marsabit","Moyale","Golbo","open","Dispensary","Government/Public Entity",1460,"Marsabit",TRUE
"Ol-Torot Dispensary",2.5931332,37.0821021,"Level 2","Marsabit","Laisamis","Loiyangalani","open","Dispensary","Government/Public Entity",1461,"Marsabit",TRUE
"Rabuor Medical Clinic (Kisumu)",-0.1539677,34.8293066,"Level 2","Kisumu",NA,"Kobura","open","Medical Center","Private",1462,"Kisumu",TRUE
"Ontulili Health Centre",0.0228955,37.1352813,"Level 3","Meru","Buuri West","Timau","open","Health Center","Government/Public Entity",1463,"Meru",TRUE
"Pepo La Tumaini Dispensary",0.341818,37.5736778,"Level 2","Isiolo","Isiolo","Bulla Pesa","open","Dispensary","Faith Based",1464,"Isiolo",TRUE
"Premier Medical Clinic (Kitui)",-1.3580432,38.0092431,"Level 2","Kitui","Kitui Central","Township","open","Medical Clinic","Private",1465,"Kitui",TRUE
"Ramata Health Centre",3.5628055,38.6372303,"Level 3","Marsabit","Moyale","Sololo","open","Health Center","Government/Public Entity",1466,"Marsabit",TRUE
"Rapsu Dispensary",0.2577535,38.2441469,"Level 2","Isiolo","Garbatulla","Kinna","open","Dispensary","Government/Public Entity",1467,"Isiolo",TRUE
"Riachina Dispensary",-0.7989883,37.8198267,"Level 2","Embu","Mbeere South","Kiambere","open","Dispensary","Government/Public Entity",1468,"Embu",TRUE
"Riakanau Dispensary",-0.8344072,37.3867296,"Level 2","Embu","Mwea","Mwea","open","Dispensary","Government/Public Entity",1469,"Embu",TRUE
"Mombasa Victory Dental Clinic (Mombasa)",-4.0271199,39.6866185,"Level 2","Mombasa",NA,"Frere town","open","Stand-Alone service","Private",1470,"Mombasa",TRUE
"Ros Megg Clinic",0.277125,37.8874133,"Level 2","Meru","Igembe Central","Kangeta","open","Medical Clinic","Private",1471,"Meru",TRUE
"Ruiri Catholic Health Centre",0.158276,37.6673951,"Level 3","Meru","Buuri East","Ruiru/Rwawera","open","Health Center","Faith Based",1472,"Meru",TRUE
"Ruiri Rural Health Demonstration Centre",0.1584145,37.6280868,"Level 3","Meru","Buuri East","Ruiru/Rwawera","open","Health Center","Government/Public Entity",1473,"Meru",TRUE
"Rukira Dispensary",-0.4870783,37.53972,"Level 2","Embu","Manyatta","Kithimu","open","Dispensary","Government/Public Entity",1474,"Embu",TRUE
"Tanz Medical Clinic (Kisumu)",-0.0707802,34.5372268,"Level 2","Kisumu",NA,"North Seme","open","Medical Clinic","Private",1475,"Kisumu",TRUE
"Rwanyange Dispensary",0.0725045,37.7244148,"Level 2","Meru","Imenti North","Nyaki East","open","Dispensary","Government/Public Entity",1476,"Meru",TRUE
"Rwika Dispensary",-0.6178583,37.5046333,"Level 2","Embu","Mbeere South","Mbeti South","open","Dispensary","Government/Public Entity",1477,"Embu",TRUE
"Sagante Dispensary",2.3292169,38.0306599,"Level 2","Marsabit","Saku","Sagante/Jaldesa","open","Dispensary","Government/Public Entity",1478,"Marsabit",TRUE
"Salama Baptist Nursing Home",-1.8532781,37.2583868,"Level 3","Makueni","Kilome","Kima Kiu/Kalanzoni","open","Dispensary","Faith Based",1479,"Makueni",TRUE
"Samaritan Health Services",0.2364219,37.9409954,"Level 2","Meru","Igembe South","Maua","open","Medical Clinic","Private",1480,"Meru",TRUE
"Samburu Complex",0.6220181,37.6821467,"Level 2","Isiolo","Isiolo","Ngare Mara","open","Dispensary","Government/Public Entity",1481,"Isiolo",TRUE
"School For The Deaf (Machakos)",-1.5225063,37.2619016,"Level 2","Machakos","Machakos","Machakos Central","open","Dispensary","Government/Public Entity",1482,"Machakos",TRUE
"Sericho Health Centre",1.1379102,39.1045355,"Level 3","Isiolo","Garbatulla","Sericho","open","Health Center","Government/Public Entity",1483,"Isiolo",TRUE
"Mitaboni Mission Dispensary",-1.3787215,37.2496122,"Level 2","Machakos","Kathiani","Mitamboni","open","Dispensary","Faith Based",1484,"Machakos",TRUE
"Siakago Clinic",-0.5780498,37.6417466,"Level 2","Embu","Mbeere North","Nthawa","open","Medical Clinic","Private",1485,"Embu",TRUE
"Sisi Kwa Sisi Medical Clinic",-1.4100443,37.5650535,"Level 2","Machakos","Mwala","Wamunyu","open","Medical Clinic","Private",1486,"Machakos",TRUE
"Kibwezi Catholic Dispensary",-2.41051,37.96909,"Level 2","Makueni","Kibwezi East","Thange","open","Dispensary","Faith Based",1487,"Makueni",TRUE
"Banadir Nursing Home Ltd (Nairobi)",-1.2741649,36.8472555,"Level 2","Nairobi",NA,"Kamkunji","open","Nursing Home","Private",1488,"Nairobi",TRUE
"Somare Dispensary",3.5179198,39.0316598,"Level 2","Marsabit","Moyale","Butiye","open","Dispensary","Government/Public Entity",1489,"Marsabit",TRUE
"Al Hidaya Health Care (Nairobi)",-1.2738643,36.8455193,"Level 2","Nairobi",NA,"Kamkunji","open","Medical Clinic","Private",1490,"Nairobi",TRUE
"Songa Health Centre",2.2436266,38.0036561,"Level 3","Marsabit","Saku","Karare","open","Health Center","Government/Public Entity",1491,"Marsabit",TRUE
"St Anne Kariene Dispensary",-0.0411364,37.6621868,"Level 2","Meru","Imenti Central","Abothuguchi Central","open","Dispensary","Faith Based",1492,"Meru",TRUE
"St Assisi Sisters of Mary Immaculate Nursing Home",-1.398733,36.9459734,"Level 3","Machakos","Athi River","Syokimau/Mulolongo","open","Nursing Home","Private",1493,"Machakos",TRUE
"St Francis Health Centre",0.1254814,37.7170374,"Level 3","Meru","Tigania West","Nkomo","open","Health Center","Faith Based",1494,"Meru",TRUE
"St Immaculate Clinic",-1.3897543,36.9408092,"Level 2","Machakos","Athi River","Syokimau/Mulolongo","open","Medical Clinic","Private",1495,"Machakos",TRUE
"St Joseph Catholic Dispensary (Igembe)",0.2797833,37.8894117,"Level 2","Meru","Igembe Central","Kangeta","open","Dispensary","Faith Based",1496,"Meru",TRUE
"Icrh Mtwapa Dice (Kilifi)",-3.9457389,39.7470817,"Level 2","Kilifi",NA,"Shimo la tewa","open","other","Non-Governmental Organization",1497,"Kilifi",TRUE
"St Marks Dispensary",-0.0451636,37.6791516,"Level 2","Meru","Imenti Central","Abothuguchi Central","open","Dispensary","Faith Based",1498,"Meru",TRUE
"St Marys Nguviu Dispensary",-0.43104,37.444145,"Level 2","Embu","Manyatta","Nginda","open","Dispensary","Faith Based",1499,"Embu",TRUE
"St Michael Nursing Home",-0.4204691,37.5728236,"Level 3","Embu","Runyenjes","Central Ward","open","Nursing Home","Private",1500,"Embu",TRUE
"Tereza D'Lima Dispensary",-1.5571518,37.1250381,"Level 2","Machakos","Athi River","Kinanie","open","Dispensary","Faith Based",1501,"Machakos",TRUE
"St Theresa Thatha Mission Dispensary",-1.0177955,37.7864103,"Level 2","Machakos","Masinga","Kivaa","open","Medical Center","Faith Based",1502,"Machakos",TRUE
"St Theresa Riiji Health Centre",0.0013979,37.5893056,"Level 3","Meru","Imenti Central","Abothuguchi West","open","Health Center","Faith Based",1503,"Meru",TRUE
"Syongila Dispensary",-1.3341049,37.9874269,"Level 2","Kitui","Kitui Central","Township","open","Dispensary","Government/Public Entity",1504,"Kitui",TRUE
"Syumile Health Centre",-2.2818275,37.9222559,"Level 2","Makueni","Kibwezi West","Nguumo","open","Health Center","Government/Public Entity",1505,"Makueni",TRUE
"Kwitu Clinic (Machakos)",-1.0469902,37.841116,"Level 2","Machakos",NA,"Kithyoko","open","Medical Clinic","Private",1506,"Machakos",TRUE
"Tana Medical Clinic (Yatta)",-1.1472059,37.5467963,"Level 2","Machakos","Yatta","Matuu","open","Medical Center","Private",1507,"Machakos",TRUE
"Tei Wa Yesu Health Centre",-0.6077053,38.1915774,"Level 3","Kitui","Mwingi North","Kyuso","open","Health Center","Faith Based",1508,"Kitui",TRUE
"Acef Ena Health Centre",-0.4731428,37.5529776,"Level 3","Embu","Runyenjes","Kagaari South","open","Health Center","Private",1509,"Embu",TRUE
"Thaana Nzau Dispensary",-0.8223529,37.8619126,"Level 2","Kitui","Mwingi West","Kyome/Thaana","open","Dispensary","Government/Public Entity",1510,"Kitui",TRUE
"Thanantu Faith Clinic Dispensary",0.0058683,37.953975,"Level 2","Tharaka Nithi","Tharaka North","Mukothima","open","Dispensary","Faith Based",1511,"Tharaka Nithi",TRUE
"Tharaka Health Centre",-0.3101315,38.0252698,"Level 3","Kitui","Mwingi North","Tharaka","open","Health Center","Government/Public Entity",1512,"Kitui",TRUE
"Thinu Health Centre",-1.4230726,37.2741138,"Level 3","Machakos","Kathiani","Upper Kaewa/Iveti","open","Health Center","Government/Public Entity",1513,"Machakos",TRUE
"Thitani Health Centre",-1.0387846,37.9141356,"Level 3","Kitui","Mwingi West","Kyome/Thaana","open","Health Center","Government/Public Entity",1514,"Kitui",TRUE
"Thitha Dispensary",-0.907475,38.1784474,"Level 2","Kitui","Mwingi Central","Kivou","open","Dispensary","Government/Public Entity",1515,"Kitui",TRUE
"Tii Dispensary",-0.6567109,38.1707955,"Level 2","Kitui","Mwingi North","Kyuso","open","Dispensary","Government/Public Entity",1516,"Kitui",TRUE
"Timau Catholic Dispensary",0.083736,37.2376613,"Level 2","Meru","Buuri West","Timau","open","Dispensary","Faith Based",1517,"Meru",TRUE
"Timau Sub-County Hospital",-0.1265397,37.6735953,"Level 3","Meru","Buuri West","Timau","open","Health Center","Government/Public Entity",1518,"Meru",TRUE
"Tiva Dispensary",-1.3849381,37.9384896,"Level 2","Kitui","Kitui Central","Kyangwithya West","open","Dispensary","Government/Public Entity",1519,"Kitui",TRUE
"Township Dispensary (Kitui)",-1.3757835,37.9984283,"Level 2","Kitui","Kitui Central","Township","open","Dispensary","Government/Public Entity",1520,"Kitui",TRUE
"Tulia Health Centre",-1.1880965,37.9762389,"Level 3","Kitui","Kitui West","Mutongoni","open","Health Center","Government/Public Entity",1521,"Kitui",TRUE
"Tulila Dispensary",-1.5632887,37.6939215,"Level 2","Machakos","Mwala","Kibauni","open","Dispensary","Government/Public Entity",1522,"Machakos",TRUE
"Tulimani Health Centre",-1.5814267,37.4100717,"Level 3","Makueni","Mbooni","Tulimani","open","Health Center","Government/Public Entity",1523,"Makueni",TRUE
"Tumaini RH Clinic",-1.2705094,37.3229689,"Level 2","Machakos","Matungulu","Tala","open","Medical Clinic","Private",1524,"Machakos",TRUE
"Tungutu Health Centre",-1.3756766,37.9984395,"Level 3","Kitui","Kitui Central","Kyangwithya West","open","Health Center","Government/Public Entity",1525,"Kitui",TRUE
"Tupendane Dispensary",0.3531517,37.5604606,"Level 2","Isiolo","Isiolo","Burat","open","Dispensary","Government/Public Entity",1526,"Isiolo",TRUE
"Turbi Dispensary",3.303801,38.3798865,"Level 2","Marsabit","North Horr","Turbi","open","Dispensary","Government/Public Entity",1527,"Marsabit",TRUE
"Tuuru Catholic Health Centre",0.3169824,37.9350565,"Level 3","Meru","Igembe Central","Akirang'ondu","open","Health Center","Faith Based",1528,"Meru",TRUE
"Tyaa Kamuthale Health Centre",-0.7476344,37.980285,"Level 3","Kitui","Mwingi North","Mumoni","open","Health Center","Government/Public Entity",1529,"Kitui",TRUE
"Ugweri Dispensary",-0.4792734,37.5993466,"Level 2","Embu","Runyenjes","Kagaari South","open","Dispensary","Government/Public Entity",1530,"Embu",TRUE
"Ukia Dispensary",-1.7607947,37.4988767,"Level 2","Makueni","Kaiti","Ukia","open","Dispensary","Government/Public Entity",1531,"Makueni",TRUE
"Ungaatu Dispensary",-1.6348972,37.9826642,"Level 2","Kitui","Kitui Rural","Kisasi","open","Dispensary","Government/Public Entity",1532,"Kitui",TRUE
"Universal Medical Clinic",-0.4071868,37.5831865,"Level 2","Embu","Runyenjes","Kyeni North","open","Medical Clinic","Private",1533,"Embu",TRUE
